employee_id,full_name,department,designation,nationality,joining_date,salary_aed,mmup_license,visa_status,email,phone,status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
EMP-0024,David Walls,Engineering,Civil Engineer,Lebanon,2022-03-27,16917,MMUP-37802,Golden Visa,david.walls@alrashdeng.ae,+971-54-6709938,Active,—,2022-03-27T16:44:00,2022-03-27T16:44:00,system@alrashdeng.ae,1,True,Engineering
EMP-0025,Thomas Mueller,Engineering,Civil Engineer,UAE,2023-12-27,41424,MMUP-77715,Employment Visa,thomas.mueller@alrashdeng.ae,+971-50-5049282,Active,—,2023-12-27T14:35:00,2023-12-27T14:35:00,system@alrashdeng.ae,1,True,"Senior Staff,Engineering"
EMP-0026,James Davis,Engineering,CAD Technician,Lebanon,2021-03-13,20749,N/A,Mission Visa,james.davis@alrashdeng.ae,+971-55-8519121,Active,—,2021-03-13T08:18:00,2021-03-13T08:18:00,system@alrashdeng.ae,1,True,Engineering
EMP-0027,Rodney Owens,Engineering,Senior Civil Engineer,Philippines,2023-05-29,31502,MMUP-50135,Mission Visa,rodney.owens@alrashdeng.ae,+971-56-7191135,Active,—,2023-05-29T15:22:00,2023-05-29T15:22:00,system@alrashdeng.ae,1,True,Engineering
EMP-0028,Emily Joyce,Engineering,Structural Engineer,UK,2018-09-24,41070,MMUP-56112,Mission Visa,emily.joyce@alrashdeng.ae,+971-55-5545223,Active,—,2018-09-24T10:07:00,2018-09-24T10:07:00,system@alrashdeng.ae,1,True,"Senior Staff,Engineering"
EMP-0029,Richard Morgan,Engineering,Design Engineer,UK,2024-05-22,17621,MMUP-25670,Mission Visa,richard.morgan@alrashdeng.ae,+971-56-4106298,Active,—,2024-05-22T14:17:00,2024-05-22T14:17:00,system@alrashdeng.ae,1,True,Engineering
EMP-0030,John Lee,Engineering,Design Engineer,Bangladesh,2021-04-29,43639,MMUP-88222,Golden Visa,john.lee@alrashdeng.ae,+971-50-4256752,Active,—,2021-04-29T12:11:00,2021-04-29T12:11:00,system@alrashdeng.ae,1,True,"Senior Staff,Engineering"
EMP-0031,Robert Ramirez,Engineering,Civil Engineer,Bangladesh,2019-11-08,5927,MMUP-26591,Golden Visa,robert.ramirez@alrashdeng.ae,+971-50-1914794,Active,—,2019-11-08T09:40:00,2019-11-08T09:40:00,system@alrashdeng.ae,1,True,Engineering
EMP-0032,Sandra Ramos,Engineering,CAD Technician,India,2024-05-21,37170,N/A,Employment Visa,sandra.ramos@alrashdeng.ae,+971-56-5770422,Active,—,2024-05-21T14:21:00,2024-05-21T14:21:00,system@alrashdeng.ae,1,True,Engineering
EMP-0033,Andrea Williams,Engineering,Senior Civil Engineer,Egypt,2025-05-30,8367,MMUP-72616,Employment Visa,andrea.williams@alrashdeng.ae,+971-50-7722755,Active,—,2025-05-30T16:40:00,2025-05-30T16:40:00,system@alrashdeng.ae,1,True,Engineering
EMP-0034,Mary Novak,Engineering,Design Engineer,Pakistan,2024-11-13,8513,MMUP-29555,Mission Visa,mary.novak@alrashdeng.ae,+971-54-2429098,Inactive,—,2024-11-13T08:35:00,2024-11-13T08:35:00,system@alrashdeng.ae,1,True,Engineering
EMP-0035,Melinda Martin,Engineering,CAD Technician,Sri Lanka,2021-08-08,32274,N/A,Mission Visa,melinda.martin@alrashdeng.ae,+971-56-4786401,Active,—,2021-08-08T13:28:00,2021-08-08T13:28:00,system@alrashdeng.ae,1,True,Engineering
EMP-0036,Jason Morales,Engineering,Structural Engineer,Sri Lanka,2018-06-08,24487,MMUP-66207,Golden Visa,jason.morales@alrashdeng.ae,+971-56-2010496,Active,—,2018-06-08T08:48:00,2018-06-08T08:48:00,system@alrashdeng.ae,1,True,Engineering
EMP-0037,Nicholas Galloway,Engineering,Senior Civil Engineer,Egypt,2019-12-20,18829,MMUP-96563,Employment Visa,nicholas.galloway@alrashdeng.ae,+971-52-5024269,Active,—,2019-12-20T08:10:00,2019-12-20T08:10:00,system@alrashdeng.ae,1,True,Engineering
EMP-0038,Kristen Gibson,Engineering,Chief Engineer,Lebanon,2021-02-19,31772,MMUP-87832,Golden Visa,kristen.gibson@alrashdeng.ae,+971-54-1547605,Active,—,2021-02-19T11:44:00,2021-02-19T11:44:00,system@alrashdeng.ae,1,True,Engineering
EMP-0039,Susan Cowan,Engineering,CAD Technician,India,2022-02-14,34755,N/A,Mission Visa,susan.cowan@alrashdeng.ae,+971-52-5438490,Active,—,2022-02-14T17:37:00,2022-02-14T17:37:00,system@alrashdeng.ae,1,True,Engineering
EMP-0040,Jennifer Moore,Engineering,Design Engineer,Jordan,2020-03-14,17964,MMUP-25043,Mission Visa,jennifer.moore@alrashdeng.ae,+971-52-3499627,Inactive,—,2020-03-14T09:04:00,2020-03-14T09:04:00,system@alrashdeng.ae,1,True,Engineering
EMP-0041,Tanya Riley,Engineering,Chief Engineer,Egypt,2022-01-08,15873,MMUP-87993,Mission Visa,tanya.riley@alrashdeng.ae,+971-56-5842082,Active,—,2022-01-08T14:44:00,2022-01-08T14:44:00,system@alrashdeng.ae,1,True,Engineering
EMP-0042,Julie Brown,Engineering,Civil Engineer,Egypt,2022-05-01,31378,MMUP-75597,Mission Visa,julie.brown@alrashdeng.ae,+971-55-8344375,Active,—,2022-05-01T07:56:00,2022-05-01T07:56:00,system@alrashdeng.ae,1,True,Engineering
EMP-0043,Wesley Farrell,Engineering,Structural Engineer,Sri Lanka,2019-03-03,26123,MMUP-42816,Employment Visa,wesley.farrell@alrashdeng.ae,+971-50-4840714,Inactive,—,2019-03-03T16:37:00,2019-03-03T16:37:00,system@alrashdeng.ae,1,True,Engineering
EMP-0044,Susan Miller,Engineering,Chief Engineer,Sri Lanka,2019-05-19,22662,MMUP-15273,Employment Visa,susan.miller@alrashdeng.ae,+971-55-9706768,Active,—,2019-05-19T11:11:00,2019-05-19T11:11:00,system@alrashdeng.ae,1,True,Engineering
EMP-0045,Brooke Leonard,Construction,Quantity Surveyor,India,2019-09-29,37225,N/A,Golden Visa,brooke.leonard@alrashdeng.ae,+971-54-7850944,Active,—,2019-09-29T17:06:00,2019-09-29T17:06:00,system@alrashdeng.ae,1,True,—
EMP-0046,David Zamora,Construction,Site Engineer,Jordan,2019-10-29,26614,MMUP-74942,Golden Visa,david.zamora@alrashdeng.ae,+971-55-1615675,Active,—,2019-10-29T12:16:00,2019-10-29T12:16:00,system@alrashdeng.ae,1,True,—
EMP-0047,Brooke Harvey,Construction,Site Supervisor,Jordan,2021-02-09,12597,N/A,Mission Visa,brooke.harvey@alrashdeng.ae,+971-50-8750676,Active,—,2021-02-09T10:33:00,2021-02-09T10:33:00,system@alrashdeng.ae,1,True,—
EMP-0048,Brandy Mills,Construction,Site Supervisor,Lebanon,2024-12-06,37669,N/A,Employment Visa,brandy.mills@alrashdeng.ae,+971-52-5480460,Active,—,2024-12-06T11:28:00,2024-12-06T11:28:00,system@alrashdeng.ae,1,True,—
EMP-0049,James Moran,Construction,Contracts Manager,India,2019-10-09,56766,N/A,Employment Visa,james.moran@alrashdeng.ae,+971-56-5014745,Active,—,2019-10-09T11:35:00,2019-10-09T11:35:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0050,Randy Powers,Construction,Construction Manager,Jordan,2020-03-23,61192,N/A,Employment Visa,randy.powers@alrashdeng.ae,+971-52-2903561,Active,—,2020-03-23T08:41:00,2020-03-23T08:41:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0051,Leslie Walton,Construction,Site Engineer,Egypt,2018-07-16,37661,MMUP-76698,Mission Visa,leslie.walton@alrashdeng.ae,+971-54-7970771,Active,—,2018-07-16T14:15:00,2018-07-16T14:15:00,system@alrashdeng.ae,1,True,—
EMP-0052,Stephen Murillo,Construction,Quantity Surveyor,Pakistan,2025-05-21,41127,N/A,Golden Visa,stephen.murillo@alrashdeng.ae,+971-52-9526867,Active,—,2025-05-21T09:55:00,2025-05-21T09:55:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0053,Charles Lewis,Construction,Construction Manager,Jordan,2019-12-20,43104,N/A,Golden Visa,charles.lewis@alrashdeng.ae,+971-56-5482413,Active,—,2019-12-20T11:46:00,2019-12-20T11:46:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0054,Sarah Ibarra,Construction,Site Supervisor,Sri Lanka,2024-07-09,43465,N/A,Mission Visa,sarah.ibarra@alrashdeng.ae,+971-55-3493017,Active,—,2024-07-09T14:22:00,2024-07-09T14:22:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0055,Mike Moore,Construction,Site Supervisor,Bangladesh,2024-03-07,41170,N/A,Golden Visa,mike.moore@alrashdeng.ae,+971-55-6398528,Active,—,2024-03-07T10:36:00,2024-03-07T10:36:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0056,Jade Carr,Construction,Quantity Surveyor,Jordan,2025-04-27,20306,N/A,Employment Visa,jade.carr@alrashdeng.ae,+971-54-8935224,Active,—,2025-04-27T13:24:00,2025-04-27T13:24:00,system@alrashdeng.ae,1,True,—
EMP-0057,Destiny Smith,Construction,Contracts Manager,Pakistan,2024-01-22,67730,N/A,Golden Visa,destiny.smith@alrashdeng.ae,+971-50-3118060,Active,—,2024-01-22T16:21:00,2024-01-22T16:21:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0058,Kevin Alvarado,Construction,Construction Manager,India,2024-12-17,53855,N/A,Mission Visa,kevin.alvarado@alrashdeng.ae,+971-55-1257489,Active,—,2024-12-17T13:55:00,2024-12-17T13:55:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0059,Dennis Wilson,Construction,Contracts Manager,India,2018-10-17,35116,N/A,Golden Visa,dennis.wilson@alrashdeng.ae,+971-54-6680114,Active,—,2018-10-17T13:41:00,2018-10-17T13:41:00,system@alrashdeng.ae,1,True,—
EMP-0060,Angela Nelson,Construction,Construction Manager,Bangladesh,2022-06-26,46532,N/A,Golden Visa,angela.nelson@alrashdeng.ae,+971-54-9186400,Active,—,2022-06-26T07:39:00,2022-06-26T07:39:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0061,Jennifer Harris,Construction,Construction Manager,Egypt,2022-09-14,40385,N/A,Employment Visa,jennifer.harris@alrashdeng.ae,+971-50-8280833,Inactive,—,2022-09-14T17:45:00,2022-09-14T17:45:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0062,Joseph Freeman,Construction,Construction Manager,Pakistan,2024-09-17,54076,N/A,Mission Visa,joseph.freeman@alrashdeng.ae,+971-54-1485654,Active,—,2024-09-17T07:18:00,2024-09-17T07:18:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0063,Meghan Davis,Construction,Site Supervisor,Jordan,2021-02-21,29565,N/A,Employment Visa,meghan.davis@alrashdeng.ae,+971-52-9911492,Active,—,2021-02-21T17:50:00,2021-02-21T17:50:00,system@alrashdeng.ae,1,True,—
EMP-0064,Joshua Smith,Construction,Site Engineer,Pakistan,2023-09-20,16140,MMUP-20350,Mission Visa,joshua.smith@alrashdeng.ae,+971-55-5040453,Active,—,2023-09-20T16:09:00,2023-09-20T16:09:00,system@alrashdeng.ae,1,True,—
EMP-0065,Dana Green,Construction,Site Engineer,Egypt,2023-07-01,35221,MMUP-70236,Golden Visa,dana.green@alrashdeng.ae,+971-50-8805654,Inactive,—,2023-07-01T17:34:00,2023-07-01T17:34:00,system@alrashdeng.ae,1,True,—
EMP-0066,Andrea Patterson,Construction,Site Engineer,Lebanon,2018-01-27,9840,MMUP-55293,Mission Visa,andrea.patterson@alrashdeng.ae,+971-54-8118722,Active,—,2018-01-27T14:54:00,2018-01-27T14:54:00,system@alrashdeng.ae,1,True,—
EMP-0067,Charles Ware,Construction,Site Supervisor,Jordan,2024-09-13,18055,N/A,Golden Visa,charles.ware@alrashdeng.ae,+971-50-4979651,Active,—,2024-09-13T12:36:00,2024-09-13T12:36:00,system@alrashdeng.ae,1,True,—
EMP-0068,Amy Davenport,Construction,Site Supervisor,UAE,2022-04-27,24348,N/A,Mission Visa,amy.davenport@alrashdeng.ae,+971-55-5605016,Active,—,2022-04-27T17:49:00,2022-04-27T17:49:00,system@alrashdeng.ae,1,True,—
EMP-0069,Earl Anderson,Construction,Contracts Manager,Sri Lanka,2020-04-14,28214,N/A,Mission Visa,earl.anderson@alrashdeng.ae,+971-55-5801541,Active,—,2020-04-14T10:38:00,2020-04-14T10:38:00,system@alrashdeng.ae,1,True,—
EMP-0070,Rachel Flynn,Construction,Site Supervisor,Philippines,2024-05-19,19352,N/A,Mission Visa,rachel.flynn@alrashdeng.ae,+971-54-3294774,Active,—,2024-05-19T17:41:00,2024-05-19T17:41:00,system@alrashdeng.ae,1,True,—
EMP-0071,Rachel Clark,Construction,Construction Manager,Lebanon,2019-11-07,45246,N/A,Employment Visa,rachel.clark@alrashdeng.ae,+971-56-7121355,Active,—,2019-11-07T08:58:00,2019-11-07T08:58:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0072,Curtis Deleon,Construction,Site Supervisor,Jordan,2024-07-22,26411,N/A,Employment Visa,curtis.deleon@alrashdeng.ae,+971-52-3217273,Active,—,2024-07-22T12:33:00,2024-07-22T12:33:00,system@alrashdeng.ae,1,True,—
EMP-0073,Richard Oliver,Construction,QS Manager,Pakistan,2019-02-23,42860,N/A,Golden Visa,richard.oliver@alrashdeng.ae,+971-55-5951651,Active,—,2019-02-23T12:51:00,2019-02-23T12:51:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0074,Sarah Hancock,Construction,Construction Manager,India,2025-03-28,55692,N/A,Employment Visa,sarah.hancock@alrashdeng.ae,+971-52-7667458,Inactive,—,2025-03-28T15:23:00,2025-03-28T15:23:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0075,Lisa Keith,Construction,Construction Manager,UAE,2018-03-09,50858,N/A,Golden Visa,lisa.keith@alrashdeng.ae,+971-56-3073474,Active,—,2018-03-09T17:47:00,2018-03-09T17:47:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0076,Jill Cook,Construction,Contracts Manager,Sri Lanka,2024-11-25,42181,N/A,Golden Visa,jill.cook@alrashdeng.ae,+971-54-2817745,Active,—,2024-11-25T14:01:00,2024-11-25T14:01:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0077,Leah Shields,Construction,QS Manager,UK,2024-01-05,61792,N/A,Mission Visa,leah.shields@alrashdeng.ae,+971-52-2060605,Active,—,2024-01-05T14:58:00,2024-01-05T14:58:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0078,Joseph Cobb,HSE,Environmental Officer,Pakistan,2018-10-20,12646,N/A,Employment Visa,joseph.cobb@alrashdeng.ae,+971-50-6106390,Inactive,—,2018-10-20T08:06:00,2018-10-20T08:06:00,system@alrashdeng.ae,1,True,—
EMP-0079,Monica Garrison,HSE,HSE Officer,Pakistan,2019-08-26,40228,N/A,Golden Visa,monica.garrison@alrashdeng.ae,+971-55-7224540,Active,—,2019-08-26T15:26:00,2019-08-26T15:26:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0080,Lisa Stevens,HSE,HSE Officer,India,2020-04-06,32189,N/A,Golden Visa,lisa.stevens@alrashdeng.ae,+971-56-7847048,Inactive,—,2020-04-06T11:02:00,2020-04-06T11:02:00,system@alrashdeng.ae,1,True,—
EMP-0081,Laura Perez,HSE,Safety Engineer,Lebanon,2018-03-06,19238,MMUP-68287,Employment Visa,laura.perez@alrashdeng.ae,+971-54-2666893,Inactive,—,2018-03-06T12:34:00,2018-03-06T12:34:00,system@alrashdeng.ae,1,True,—
EMP-0082,James Murphy,HSE,Safety Engineer,Jordan,2024-05-29,8968,MMUP-46160,Employment Visa,james.murphy@alrashdeng.ae,+971-50-8628891,Active,—,2024-05-29T10:41:00,2024-05-29T10:41:00,system@alrashdeng.ae,1,True,—
EMP-0083,Tammy Ramirez,HSE,HSE Manager,UK,2022-10-04,28314,N/A,Employment Visa,tammy.ramirez@alrashdeng.ae,+971-52-4442778,Active,—,2022-10-04T15:13:00,2022-10-04T15:13:00,system@alrashdeng.ae,1,True,—
EMP-0084,Ricardo Zavala,HSE,HSE Officer,UK,2021-12-23,20269,N/A,Employment Visa,ricardo.zavala@alrashdeng.ae,+971-56-1047572,Active,—,2021-12-23T09:08:00,2021-12-23T09:08:00,system@alrashdeng.ae,1,True,—
EMP-0085,Sheila Wilson,HSE,Safety Engineer,India,2025-03-12,16435,MMUP-96646,Employment Visa,sheila.wilson@alrashdeng.ae,+971-52-1249314,Active,—,2025-03-12T10:37:00,2025-03-12T10:37:00,system@alrashdeng.ae,1,True,—
EMP-0086,Gregory Estes,HSE,Safety Engineer,Pakistan,2019-12-20,6034,MMUP-44782,Employment Visa,gregory.estes@alrashdeng.ae,+971-52-8062546,Active,—,2019-12-20T08:30:00,2019-12-20T08:30:00,system@alrashdeng.ae,1,True,—
EMP-0087,Daniel Hamilton,QA/QC,QC Inspector,Sri Lanka,2023-05-27,38635,N/A,Employment Visa,daniel.hamilton@alrashdeng.ae,+971-55-9453010,Active,—,2023-05-27T16:02:00,2023-05-27T16:02:00,system@alrashdeng.ae,1,True,—
EMP-0088,Lee Obrien,QA/QC,QC Inspector,UAE,2021-10-16,35018,N/A,Employment Visa,lee.obrien@alrashdeng.ae,+971-55-7738019,Active,—,2021-10-16T08:31:00,2021-10-16T08:31:00,system@alrashdeng.ae,1,True,—
EMP-0089,Paul Ray,QA/QC,Materials Engineer,India,2019-11-21,9816,MMUP-52219,Mission Visa,paul.ray@alrashdeng.ae,+971-52-2101965,Active,—,2019-11-21T16:40:00,2019-11-21T16:40:00,system@alrashdeng.ae,1,True,—
EMP-0090,Jeanne Smith,QA/QC,QC Inspector,Sri Lanka,2024-11-11,29962,N/A,Mission Visa,jeanne.smith@alrashdeng.ae,+971-54-8612081,Active,—,2024-11-11T13:06:00,2024-11-11T13:06:00,system@alrashdeng.ae,1,True,—
EMP-0091,Amanda Ball,QA/QC,QA/QC Manager,Bangladesh,2023-07-03,67907,N/A,Mission Visa,amanda.ball@alrashdeng.ae,+971-52-8215376,Active,—,2023-07-03T10:26:00,2023-07-03T10:26:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0092,Emily Diaz,QA/QC,QC Inspector,Jordan,2018-07-09,34720,N/A,Golden Visa,emily.diaz@alrashdeng.ae,+971-50-6243691,Active,—,2018-07-09T17:16:00,2018-07-09T17:16:00,system@alrashdeng.ae,1,True,—
EMP-0093,Elizabeth Rivera,QA/QC,QC Inspector,Lebanon,2020-04-30,15003,N/A,Employment Visa,elizabeth.rivera@alrashdeng.ae,+971-50-2432176,Active,—,2020-04-30T08:47:00,2020-04-30T08:47:00,system@alrashdeng.ae,1,True,—
EMP-0094,Melanie Cortez,QA/QC,QC Inspector,Bangladesh,2020-03-24,13527,N/A,Employment Visa,melanie.cortez@alrashdeng.ae,+971-56-6530541,Active,—,2020-03-24T13:22:00,2020-03-24T13:22:00,system@alrashdeng.ae,1,True,—
EMP-0095,Kyle Ortiz,QA/QC,Materials Engineer,Egypt,2020-12-25,8371,MMUP-88696,Golden Visa,kyle.ortiz@alrashdeng.ae,+971-54-2738129,Active,—,2020-12-25T10:09:00,2020-12-25T10:09:00,system@alrashdeng.ae,1,True,—
EMP-0096,Kenneth Martinez,QA/QC,Materials Engineer,India,2021-02-12,19696,MMUP-55890,Mission Visa,kenneth.martinez@alrashdeng.ae,+971-54-2927455,Active,—,2021-02-12T16:14:00,2021-02-12T16:14:00,system@alrashdeng.ae,1,True,—
EMP-0097,Shelby Byrd,QA/QC,Materials Engineer,Sri Lanka,2024-09-10,41763,MMUP-90422,Mission Visa,shelby.byrd@alrashdeng.ae,+971-56-1440466,Active,—,2024-09-10T17:53:00,2024-09-10T17:53:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0098,Christina Turner,QA/QC,QC Inspector,Pakistan,2022-01-23,6897,N/A,Golden Visa,christina.turner@alrashdeng.ae,+971-54-6701311,Active,—,2022-01-23T09:55:00,2022-01-23T09:55:00,system@alrashdeng.ae,1,True,—
EMP-0099,Aaron Mitchell,Commercial,Buyer,Pakistan,2021-03-10,9560,N/A,Mission Visa,aaron.mitchell@alrashdeng.ae,+971-50-2539438,Active,—,2021-03-10T10:24:00,2021-03-10T10:24:00,system@alrashdeng.ae,1,True,—
EMP-0100,Bethany Pena,Commercial,Buyer,UK,2021-06-13,34730,N/A,Employment Visa,bethany.pena@alrashdeng.ae,+971-54-6228407,Active,—,2021-06-13T16:38:00,2021-06-13T16:38:00,system@alrashdeng.ae,1,True,—
EMP-0101,Scott Lewis,Commercial,Commercial Manager,Pakistan,2021-07-05,28447,N/A,Employment Visa,scott.lewis@alrashdeng.ae,+971-56-1834876,Active,—,2021-07-05T11:28:00,2021-07-05T11:28:00,system@alrashdeng.ae,1,True,—
EMP-0102,Rachel Flynn,Commercial,Buyer,Sri Lanka,2019-04-05,36828,N/A,Golden Visa,rachel.flynn@alrashdeng.ae,+971-55-5582979,Active,—,2019-04-05T15:07:00,2019-04-05T15:07:00,system@alrashdeng.ae,1,True,—
EMP-0103,Christopher Robertson,Commercial,Procurement Manager,India,2022-09-11,53174,N/A,Golden Visa,christopher.robertson@alrashdeng.ae,+971-56-9164342,Active,—,2022-09-11T11:02:00,2022-09-11T11:02:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0104,Matthew Cardenas,Commercial,Estimation Engineer,Sri Lanka,2023-07-28,30903,MMUP-17180,Employment Visa,matthew.cardenas@alrashdeng.ae,+971-52-6056977,Inactive,—,2023-07-28T09:48:00,2023-07-28T09:48:00,system@alrashdeng.ae,1,True,—
