supplier_id,company_name,category,trade_license,trn,contact_person,email,phone,address,lead_time_days,payment_terms,approved,status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
SUP-018,Morris and Sons,Facade Materials,917018,100190945411,Cameron Hill,cameron.hill@morristrading.ae,+971-56-5072543,"Abu Dhabi, UAE",19,Net 30,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-019,"Richards, Joseph and James",Structural Steel,245584,100388749542,Carla Phillips,carla.phillips@richardstrading.ae,+971-54-5503118,"Dubai, UAE",7,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-020,"Jacobs, Garcia and Miles",Facade Materials,389366,100552155193,Melissa Curtis,melissa.curtis@jacobstrading.ae,+971-54-9124053,"Sharjah, UAE",14,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-021,"Le, Lewis and Hayes",Finishing Materials,722651,100762143074,Jeremy Morgan,jeremy.morgan@letrading.ae,+971-52-8681643,"Sharjah, UAE",7,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-022,Ross-Blair,Facade Materials,448354,100765926290,Larry Edwards,larry.edwards@ross-blairtrading.ae,+971-55-6528792,"Dubai, UAE",13,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-023,Brooks-Hernandez,Formwork & Scaffolding,436241,100747693166,Sandra Jones,sandra.jones@brooks-hernandeztrading.ae,+971-52-9036449,"RAK, UAE",8,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-024,Davis Inc,Formwork & Scaffolding,870571,100846205223,Julie Watson,julie.watson@davistrading.ae,+971-55-5067204,"RAK, UAE",15,Net 45,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-025,Hawkins PLC,MEP Materials,219420,100705429879,Sue Hoffman,sue.hoffman@hawkinstrading.ae,+971-52-4018677,"Abu Dhabi, UAE",3,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-026,"Martinez, Gomez and Ortega",Finishing Materials,936433,100412814503,Karen Parrish,karen.parrish@martineztrading.ae,+971-50-7864256,"Dubai, UAE",7,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-027,"Williams, Roberts and Edwards",Formwork & Scaffolding,790658,100265510032,Dale Romero,dale.romero@williamstrading.ae,+971-55-7324856,"Sharjah, UAE",17,Net 60,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-028,Douglas and Sons,Safety Equipment,631221,100842716738,Melanie Bell,melanie.bell@douglastrading.ae,+971-55-1616817,"RAK, UAE",25,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-029,"Richardson, Farmer and Andrews",Cement & Aggregates,789545,100813709631,Lindsay Bruce,lindsay.bruce@richardsontrading.ae,+971-54-3790696,"Abu Dhabi, UAE",4,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-030,"Austin, Day and Johnson",Facade Materials,211090,100111325589,Sarah Gallegos,sarah.gallegos@austintrading.ae,+971-50-5340909,"Ajman, UAE",19,Net 30,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-031,Johnson-Nelson,MEP Materials,510133,100597210335,Kathryn Dorsey,kathryn.dorsey@johnson-nelsontrading.ae,+971-56-9396422,"Ajman, UAE",14,Cash,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-032,Smith-Kane,Steel Reinforcement,409783,100546650213,Ashley Morales,ashley.morales@smith-kanetrading.ae,+971-50-2947320,"Ajman, UAE",14,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-033,Figueroa Inc,Finishing Materials,922366,100322122096,Christopher Moreno,christopher.moreno@figueroatrading.ae,+971-56-9102153,"RAK, UAE",18,Cash,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-034,Barnes-Peterson,Finishing Materials,434400,100172127903,Mitchell Griffith,mitchell.griffith@barnes-petersontrading.ae,+971-54-1749657,"Sharjah, UAE",3,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-035,"Carlson, Ware and Moore",Structural Steel,876459,100361899532,Karen Williams,karen.williams@carlsontrading.ae,+971-56-3926839,"Abu Dhabi, UAE",8,Net 45,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-036,Nelson Ltd,Finishing Materials,343118,100956583753,Roger Lawson,roger.lawson@nelsontrading.ae,+971-55-4094587,"Ajman, UAE",23,Net 60,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-037,Nelson-Fischer,Ready-Mix Concrete,873207,100759392301,Daniel Jordan,daniel.jordan@nelson-fischertrading.ae,+971-52-8542617,"Abu Dhabi, UAE",16,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-038,Gregory-Watkins,Cement & Aggregates,315780,100398870482,Alison Parker,alison.parker@gregory-watkinstrading.ae,+971-50-2707116,"Abu Dhabi, UAE",8,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-039,Foster PLC,Cement & Aggregates,579776,100222358216,Brian Harris,brian.harris@fostertrading.ae,+971-54-9212178,"Abu Dhabi, UAE",23,Net 45,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-040,Saunders LLC,Construction Chemicals,511612,100730291513,Keith Wilson,keith.wilson@saunderstrading.ae,+971-50-6837206,"RAK, UAE",30,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-041,Burgess-Thompson,Formwork & Scaffolding,744333,100733688460,Omar Padilla,omar.padilla@burgess-thompsontrading.ae,+971-50-3247270,"RAK, UAE",6,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-042,"Hansen, Barnett and Gomez",Steel Reinforcement,291936,100500834337,Randy Harmon,randy.harmon@hansentrading.ae,+971-52-9570219,"Dubai, UAE",16,Net 30,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-043,Smith-Morse,Facade Materials,294776,100622558165,Michelle Johnston,michelle.johnston@smith-morsetrading.ae,+971-56-3906397,"Abu Dhabi, UAE",8,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-044,"Sullivan, Bowman and Roberts",Structural Steel,296187,100437777716,Richard Burch,richard.burch@sullivantrading.ae,+971-55-1899447,"RAK, UAE",3,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-045,Solis PLC,Cement & Aggregates,954815,100512256916,Steve Norris,steve.norris@solistrading.ae,+971-56-9479842,"Dubai, UAE",16,Net 60,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-046,Davis-Richard,Finishing Materials,612438,100279587066,John Chapman,john.chapman@davis-richardtrading.ae,+971-50-1517756,"Ajman, UAE",12,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-047,"Miller, Harrell and Reese",Cement & Aggregates,663723,100409957384,Jeffrey Maxwell,jeffrey.maxwell@millertrading.ae,+971-52-8672579,"Abu Dhabi, UAE",26,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-048,Dixon Inc,Construction Chemicals,219754,100387643522,Alyssa Lee,alyssa.lee@dixontrading.ae,+971-56-7154919,"Abu Dhabi, UAE",29,Cash,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-049,Bell-Mullen,Safety Equipment,329157,100556506372,Debbie Hernandez,debbie.hernandez@bell-mullentrading.ae,+971-50-5152891,"RAK, UAE",30,Cash,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-050,Thomas and Sons,Formwork & Scaffolding,465509,100976955647,Glenn Hernandez,glenn.hernandez@thomastrading.ae,+971-50-8366370,"Sharjah, UAE",27,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-051,"Jones, Bean and Burton",Construction Chemicals,822608,100476486996,Steven Elliott,steven.elliott@jonestrading.ae,+971-56-8183451,"Ajman, UAE",22,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-052,"Cole, Glass and Cunningham",Cement & Aggregates,944565,100163734988,Cynthia Weber,cynthia.weber@coletrading.ae,+971-56-6885707,"Abu Dhabi, UAE",11,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-053,"Stewart, Gonzales and Harrison",Formwork & Scaffolding,403387,100714970148,Crystal Hogan,crystal.hogan@stewarttrading.ae,+971-54-9630451,"Sharjah, UAE",7,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-054,"Brown, Romero and Collins",Formwork & Scaffolding,787757,100236245128,Shannon Brown,shannon.brown@browntrading.ae,+971-52-5188889,"Ajman, UAE",25,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-055,Jones-Lin,Facade Materials,613234,100252655630,Melissa Gilbert,melissa.gilbert@jones-lintrading.ae,+971-56-5508325,"Dubai, UAE",15,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-056,"Cruz, Carpenter and Best",Steel Reinforcement,522419,100653635749,Joanne Williams,joanne.williams@cruztrading.ae,+971-54-7191986,"Dubai, UAE",18,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-057,"Pearson, Morris and Alvarez",Steel Reinforcement,866437,100592256138,Edward Brown,edward.brown@pearsontrading.ae,+971-54-2062512,"Abu Dhabi, UAE",15,Net 30,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-058,Shepherd LLC,Cement & Aggregates,618746,100388339233,Toni Miller,toni.miller@shepherdtrading.ae,+971-54-5757902,"RAK, UAE",20,Net 30,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-059,"Thompson, Wright and Kim",MEP Materials,815707,100918464025,Scott Mills,scott.mills@thompsontrading.ae,+971-50-1770794,"Sharjah, UAE",23,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-060,Cox LLC,Steel Reinforcement,999312,100269633510,Paul Schroeder,paul.schroeder@coxtrading.ae,+971-55-8659103,"Sharjah, UAE",16,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-061,"Harper, Mccormick and Holland",Formwork & Scaffolding,266699,100394226159,Cameron Davis,cameron.davis@harpertrading.ae,+971-50-7047102,"RAK, UAE",5,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-062,"Hughes, King and York",Ready-Mix Concrete,515594,100771737478,Tamara Morrison,tamara.morrison@hughestrading.ae,+971-54-4928281,"Dubai, UAE",23,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-063,Cook PLC,Ready-Mix Concrete,323788,100611967311,Elizabeth Rangel,elizabeth.rangel@cooktrading.ae,+971-50-3226333,"Abu Dhabi, UAE",10,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-064,Ponce-Hale,Ready-Mix Concrete,829386,100468909933,Philip Larson,philip.larson@ponce-haletrading.ae,+971-50-8085252,"Ajman, UAE",18,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-065,Collins Group,Facade Materials,193670,100884651200,Dawn Murphy,dawn.murphy@collinstrading.ae,+971-50-2731434,"RAK, UAE",14,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-066,Santiago Ltd,Facade Materials,911032,100973347156,Wendy Gaines,wendy.gaines@santiagotrading.ae,+971-52-3396676,"Sharjah, UAE",19,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-067,Lucas Group,Finishing Materials,468247,100875705487,William Smith,william.smith@lucastrading.ae,+971-52-3539636,"Dubai, UAE",22,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-068,White-Lewis,Steel Reinforcement,205345,100250337960,Stacey Tucker,stacey.tucker@white-lewistrading.ae,+971-50-7442986,"RAK, UAE",16,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-069,Cooke and Sons,Cement & Aggregates,390421,100792156071,Chris Richard,chris.richard@cooketrading.ae,+971-50-5163551,"Abu Dhabi, UAE",22,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-070,Romero PLC,Formwork & Scaffolding,315425,100655928892,Mary Stephenson,mary.stephenson@romerotrading.ae,+971-56-9548370,"Ajman, UAE",26,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-071,Stanley PLC,Ready-Mix Concrete,921875,100952312670,David Bennett,david.bennett@stanleytrading.ae,+971-52-9302838,"Dubai, UAE",6,Net 30,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-072,White Ltd,Construction Chemicals,174461,100667243311,Kellie Lamb,kellie.lamb@whitetrading.ae,+971-50-7058222,"RAK, UAE",7,Net 60,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-073,Griffith Inc,MEP Materials,672896,100833303441,Robert Rhodes,robert.rhodes@griffithtrading.ae,+971-52-8902314,"Sharjah, UAE",3,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-074,Montes PLC,Formwork & Scaffolding,326222,100142763764,Justin Goodman,justin.goodman@montestrading.ae,+971-50-7676912,"Abu Dhabi, UAE",12,Net 60,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-075,Young-Allen,Facade Materials,186431,100787771674,Tammy Mueller,tammy.mueller@young-allentrading.ae,+971-56-3561552,"RAK, UAE",5,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-076,Richardson PLC,Safety Equipment,313068,100967647911,Tracey Murray,tracey.murray@richardsontrading.ae,+971-52-9999133,"RAK, UAE",15,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-077,Strickland-Shaw,Facade Materials,865416,100356234948,Robert Martin,robert.martin@strickland-shawtrading.ae,+971-50-5101689,"Sharjah, UAE",16,Cash,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-078,Solis and Sons,Construction Chemicals,738407,100159086532,Monique Williams,monique.williams@solistrading.ae,+971-54-3946849,"Sharjah, UAE",3,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-079,Sawyer-Spencer,Structural Steel,620526,100472271797,Curtis Singleton,curtis.singleton@sawyer-spencertrading.ae,+971-56-9677559,"RAK, UAE",8,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-080,Mitchell and Sons,Formwork & Scaffolding,868538,100226762436,Joshua Whitehead,joshua.whitehead@mitchelltrading.ae,+971-50-6620552,"Dubai, UAE",11,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
