contractor_id,company_name,specialty,trade_license,cicpa_registration,trn,contact_person,email,phone,address,rating,prequalified,status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
CON-011,"Higgins, Strickland and Martin",Landscaping,365971,CICPA-12128,100483426624,Larry Lane,larry.lane@higginscontracting.ae,+971-50-6784825,"DIP, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-012,Johnston-Odonnell Demolition,Demolition,239890,CICPA-15811,100478278218,Nicholas David,nicholas.david@johnston-odonnellcontracting.ae,+971-56-6679880,"DIP, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-013,Jones Ltd,Road Works,950916,CICPA-27675,100167753684,Maria Sanchez,maria.sanchez@jonescontracting.ae,+971-55-1620485,"JAFZA, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-014,"Barton, Jefferson and Burke Piling & Foundations",Piling & Foundations,430926,CICPA-50642,100653388913,David Riggs,david.riggs@bartoncontracting.ae,+971-55-8942330,"JAFZA, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-015,Reed Group Demolition,Demolition,474314,CICPA-16265,100804086195,Doris Jones,doris.jones@reedcontracting.ae,+971-54-5583814,"Al Quoz, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-016,"Peterson, Atkinson and Short HVAC",HVAC,561097,CICPA-60678,100464037804,Daniel Yu,daniel.yu@petersoncontracting.ae,+971-52-9324908,"Ras Al Khor, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-017,"Snow, Stevens and Hernandez Demolition",Demolition,862400,CICPA-65640,100184747224,Gregory Boyd,gregory.boyd@snowcontracting.ae,+971-55-4027557,"Sharjah Industrial, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-018,"Nelson, Morton and Medina",Waterproofing,793024,CICPA-48750,100429097422,Timothy Graham,timothy.graham@nelsoncontracting.ae,+971-55-8149041,"DIP, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-019,"Vargas, Morris and Sanchez",Waterproofing,469685,CICPA-90589,100567013808,Sarah Ramirez,sarah.ramirez@vargascontracting.ae,+971-54-1962308,"Al Quoz, UAE",C,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-020,Sanchez-Marshall Waterproofing,Waterproofing,812413,CICPA-30969,100133436988,Cheryl Gray,cheryl.gray@sanchez-marshallcontracting.ae,+971-52-8351320,"Al Quoz, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-021,Snyder LLC,Structural Steel,484123,CICPA-57467,100511086777,Hunter Lewis,hunter.lewis@snydercontracting.ae,+971-56-1543335,"Sharjah Industrial, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-022,Peterson-Beard,Landscaping,490084,CICPA-68188,100919355714,Jacqueline Hill,jacqueline.hill@peterson-beardcontracting.ae,+971-50-3310140,"Sharjah Industrial, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-023,Black and Sons,HVAC,361736,CICPA-24869,100127824235,Christopher Cortez,christopher.cortez@blackcontracting.ae,+971-52-9372568,"Sharjah Industrial, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-024,Peters-Allen,Plumbing,838237,CICPA-68493,100330393232,Thomas Joseph,thomas.joseph@peters-allencontracting.ae,+971-56-5791184,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-025,Mcguire-Davis,Structural Steel,574001,CICPA-32630,100865975088,Jeffrey Holt,jeffrey.holt@mcguire-daviscontracting.ae,+971-55-2472884,"JAFZA, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-026,Beck-Wood,Road Works,404466,CICPA-49315,100269119969,Angela Cooper,angela.cooper@beck-woodcontracting.ae,+971-52-7064832,"Sharjah Industrial, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-027,"Pierce, Bell and Chavez Structural Steel",Structural Steel,348235,CICPA-74752,100128222260,Kristopher Hall,kristopher.hall@piercecontracting.ae,+971-54-7189302,"Ras Al Khor, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-028,"Lee, Wilson and Herrera Fire Fighting",Fire Fighting,424314,CICPA-62187,100869801588,Kathleen Lopez,kathleen.lopez@leecontracting.ae,+971-55-9819709,"Ras Al Khor, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-029,Rodgers LLC Fit-Out,Fit-Out,432427,CICPA-94192,100179634081,Jenny Bray,jenny.bray@rodgerscontracting.ae,+971-55-8815384,"Sharjah Industrial, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-030,"Carlson, Hooper and Wall Concrete Works",Concrete Works,770872,CICPA-87042,100295381429,Kenneth Ward,kenneth.ward@carlsoncontracting.ae,+971-52-8258130,"Sharjah Industrial, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-031,Smith-Ferguson,Fit-Out,418897,CICPA-31581,100273910700,Joshua Mccann,joshua.mccann@smith-fergusoncontracting.ae,+971-54-4782763,"JAFZA, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-032,"Carter, Raymond and Little",Fit-Out,765905,CICPA-82199,100394689553,Karen Garcia,karen.garcia@cartercontracting.ae,+971-52-6080553,"Sharjah Industrial, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-033,Andrews Group Plumbing,Plumbing,708851,CICPA-30210,100283825267,Timothy Peterson,timothy.peterson@andrewscontracting.ae,+971-56-6664316,"Sharjah Industrial, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-034,King Group Fit-Out,Fit-Out,147670,CICPA-94076,100927878967,Danny Jones,danny.jones@kingcontracting.ae,+971-56-5440189,"DIP, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-035,Jones-Soto Fire Fighting,Fire Fighting,757629,CICPA-81509,100411032572,Brian Hernandez,brian.hernandez@jones-sotocontracting.ae,+971-54-9102469,"DIP, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-036,"Avery, Miller and Wright",Facade & Cladding,162823,CICPA-30719,100572022811,Angela Butler,angela.butler@averycontracting.ae,+971-55-9124385,"Ras Al Khor, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-037,"Gibbs, Perez and Mills Waterproofing",Waterproofing,853258,CICPA-51853,100888340979,Shannon Ramos,shannon.ramos@gibbscontracting.ae,+971-54-7689354,"DIP, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-038,"Branch, Torres and Oliver Plumbing",Plumbing,353480,CICPA-71141,100231556899,Chelsea Singh,chelsea.singh@branchcontracting.ae,+971-54-8542969,"DIP, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-039,Garrett LLC,Structural Steel,745270,CICPA-64805,100366578178,Donna Moore,donna.moore@garrettcontracting.ae,+971-52-6493461,"Sharjah Industrial, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-040,Arnold and Sons MEP Works,MEP Works,639728,CICPA-71186,100635539154,Aaron Hayes,aaron.hayes@arnoldcontracting.ae,+971-54-9344488,"Al Quoz, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-041,"Harrison, Johnson and Roberts HVAC",HVAC,325595,CICPA-86460,100478918222,Justin Heath,justin.heath@harrisoncontracting.ae,+971-50-1847927,"JAFZA, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-042,Mcdaniel LLC Fire Fighting,Fire Fighting,805188,CICPA-71680,100406819991,Kristin Weber,kristin.weber@mcdanielcontracting.ae,+971-56-1137194,"Al Quoz, UAE",C,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-043,"Lara, Gonzalez and Wilson Concrete Works",Concrete Works,483545,CICPA-62855,100492922240,Jeffrey Hernandez,jeffrey.hernandez@laracontracting.ae,+971-50-7720644,"Al Quoz, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-044,Serrano-Jones Waterproofing,Waterproofing,505116,CICPA-76093,100583564328,Gabriel Parker,gabriel.parker@serrano-jonescontracting.ae,+971-56-5692934,"Sharjah Industrial, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-045,"Holloway, Morse and Gonzales Concrete Works",Concrete Works,491326,CICPA-54444,100698967370,Taylor Torres,taylor.torres@hollowaycontracting.ae,+971-54-3420404,"DIP, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-046,Bender-Mason,Plumbing,243693,CICPA-53652,100963251765,Troy Miller,troy.miller@bender-masoncontracting.ae,+971-55-9712957,"Ras Al Khor, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-047,Preston Ltd Fire Fighting,Fire Fighting,443897,CICPA-90356,100442019016,Marcus Wright,marcus.wright@prestoncontracting.ae,+971-52-7592683,"Sharjah Industrial, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-048,Perez Ltd,Fire Fighting,658198,CICPA-74205,100861003571,Mary Johnston,mary.johnston@perezcontracting.ae,+971-56-6029651,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-049,Key Ltd,Waterproofing,536774,CICPA-86507,100430366556,Lori Johnston,lori.johnston@keycontracting.ae,+971-50-8962302,"JAFZA, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-050,Ruiz Ltd,Road Works,278794,CICPA-78712,100775410705,Scott Ramirez,scott.ramirez@ruizcontracting.ae,+971-56-7378535,"DIP, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-051,"Graham, Olsen and Costa Piling & Foundations",Piling & Foundations,215233,CICPA-35006,100120333847,Theodore Ortiz,theodore.ortiz@grahamcontracting.ae,+971-55-6262886,"Ras Al Khor, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-052,Santiago-Hodge HVAC,HVAC,626195,CICPA-90147,100606382505,Mark Steele,mark.steele@santiago-hodgecontracting.ae,+971-50-3316639,"Sharjah Industrial, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-053,Bates-Morales,Plumbing,601608,CICPA-78875,100504612520,Kathleen Johnson,kathleen.johnson@bates-moralescontracting.ae,+971-54-3905518,"Ras Al Khor, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-054,Edwards LLC,Plumbing,813813,CICPA-94319,100962915335,Darrell Barton,darrell.barton@edwardscontracting.ae,+971-54-9123194,"DIP, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-055,"Bryan, Smith and Booth Facade & Cladding",Facade & Cladding,412071,CICPA-47880,100856881618,Steven Brown,steven.brown@bryancontracting.ae,+971-52-9204110,"JAFZA, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-056,"Cox, Avila and Garrett Waterproofing",Waterproofing,386741,CICPA-47721,100230861323,Kathleen Harris,kathleen.harris@coxcontracting.ae,+971-56-7370211,"Ras Al Khor, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-057,"Anderson, Roberts and Gilmore Demolition",Demolition,144109,CICPA-47700,100866803374,Todd Johnson,todd.johnson@andersoncontracting.ae,+971-50-6811015,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-058,"Lynch, Allen and Moore",Road Works,968170,CICPA-80592,100391126537,Andrea Tran,andrea.tran@lynchcontracting.ae,+971-56-5557052,"DIP, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-059,Walker Inc Fire Fighting,Fire Fighting,354235,CICPA-16653,100819228743,Steven Wilson,steven.wilson@walkercontracting.ae,+971-56-4786141,"DIP, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-060,Jimenez Ltd,Structural Steel,595351,CICPA-23178,100831424323,Kelly Thornton,kelly.thornton@jimenezcontracting.ae,+971-52-1086930,"Sharjah Industrial, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-061,Davenport-Baird HVAC,HVAC,600641,CICPA-95267,100314164216,John Arnold,john.arnold@davenport-bairdcontracting.ae,+971-54-6388299,"JAFZA, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-062,Lee-Greene,Demolition,343500,CICPA-80143,100893158610,Julie Taylor,julie.taylor@lee-greenecontracting.ae,+971-50-3937099,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-063,Hill Group Piling & Foundations,Piling & Foundations,926236,CICPA-74930,100300050585,Matthew French,matthew.french@hillcontracting.ae,+971-54-1628578,"Al Quoz, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-064,Hoover-Campbell Fire Fighting,Fire Fighting,398384,CICPA-69552,100788603957,Kenneth Matthews,kenneth.matthews@hoover-campbellcontracting.ae,+971-56-9796605,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-065,"Burns, Hernandez and Ryan Fit-Out",Fit-Out,302177,CICPA-24764,100455069350,Michael Arnold,michael.arnold@burnscontracting.ae,+971-52-8699307,"JAFZA, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-066,"Bennett, Cantu and Kane Piling & Foundations",Piling & Foundations,695361,CICPA-98395,100913126162,Tina Allen,tina.allen@bennettcontracting.ae,+971-52-3944316,"Sharjah Industrial, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-067,Hall-Rowe,Fit-Out,190951,CICPA-62538,100818608005,Bradley Garner,bradley.garner@hall-rowecontracting.ae,+971-50-4100114,"DIP, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-068,"Mcintyre, James and Mcneil Waterproofing",Waterproofing,373453,CICPA-60275,100352889019,Laura Pearson,laura.pearson@mcintyrecontracting.ae,+971-55-5479421,"JAFZA, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-069,Simpson Inc Fire Fighting,Fire Fighting,374258,CICPA-95679,100486066116,David Sanford,david.sanford@simpsoncontracting.ae,+971-52-2042273,"Al Quoz, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-070,Kane-Sawyer,Facade & Cladding,626930,CICPA-50760,100841193655,Scott Fox,scott.fox@kane-sawyercontracting.ae,+971-50-5949909,"JAFZA, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-071,Smith-Thomas MEP Works,MEP Works,260626,CICPA-69634,100902874167,Monica Booker,monica.booker@smith-thomascontracting.ae,+971-56-7268384,"Ras Al Khor, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-072,Harrison LLC Demolition,Demolition,965708,CICPA-38627,100918040539,Matthew Schwartz,matthew.schwartz@harrisoncontracting.ae,+971-52-2373555,"Sharjah Industrial, UAE",C,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-073,"Miller, Murphy and Craig Plumbing",Plumbing,691573,CICPA-24707,100166312199,Amanda Finley,amanda.finley@millercontracting.ae,+971-56-9480665,"DIP, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-074,"Higgins, Malone and Brennan",Concrete Works,563303,CICPA-25235,100830461452,Barry Jones,barry.jones@higginscontracting.ae,+971-52-9201172,"Al Quoz, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-075,"Cohen, Mitchell and Perez",Demolition,638179,CICPA-64450,100590483627,Christopher Good,christopher.good@cohencontracting.ae,+971-56-1968662,"Sharjah Industrial, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-076,"Padilla, Garcia and Jackson Landscaping",Landscaping,122827,CICPA-61897,100373221357,Kevin Johnson,kevin.johnson@padillacontracting.ae,+971-50-4655777,"Sharjah Industrial, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-077,Flynn-Carter,Piling & Foundations,166857,CICPA-80931,100164698991,Nicholas Thomas,nicholas.thomas@flynn-cartercontracting.ae,+971-50-8920040,"Al Quoz, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-078,"Jenkins, Maldonado and White",HVAC,903028,CICPA-94085,100883068639,Gregory Lynch,gregory.lynch@jenkinscontracting.ae,+971-55-7282411,"Ras Al Khor, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-079,Harvey-Allen Fit-Out,Fit-Out,493892,CICPA-20518,100833076128,Roberta Thomas,roberta.thomas@harvey-allencontracting.ae,+971-56-3231198,"JAFZA, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-080,Little-Stevens Concrete Works,Concrete Works,654531,CICPA-26691,100881531720,Elizabeth Nolan,elizabeth.nolan@little-stevenscontracting.ae,+971-52-1058272,"Al Quoz, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-081,Santana-Byrd Electrical,Electrical,544730,CICPA-79721,100507245006,Eric Alexander,eric.alexander@santana-byrdcontracting.ae,+971-52-5152562,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-082,Huerta-Evans,Concrete Works,902674,CICPA-24790,100134593072,Suzanne Vaughn,suzanne.vaughn@huerta-evanscontracting.ae,+971-55-1262492,"DIP, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-083,Bruce-Gonzalez,Structural Steel,568127,CICPA-88352,100821579885,Paul Webb,paul.webb@bruce-gonzalezcontracting.ae,+971-50-5105957,"Al Quoz, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-084,James LLC,Electrical,891030,CICPA-17398,100250469429,Bailey Haney,bailey.haney@jamescontracting.ae,+971-56-5853035,"DIP, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-085,Johnson-Greer Fire Fighting,Fire Fighting,958136,CICPA-52030,100354373770,Randy Smith,randy.smith@johnson-greercontracting.ae,+971-54-3403511,"Sharjah Industrial, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-086,"Osborne, Beltran and Lozano",HVAC,683761,CICPA-87550,100889427990,Julie Wall,julie.wall@osbornecontracting.ae,+971-52-8167236,"Sharjah Industrial, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-087,Parsons-Hall Piling & Foundations,Piling & Foundations,803953,CICPA-59958,100943751263,Laurie Robinson,laurie.robinson@parsons-hallcontracting.ae,+971-56-6347476,"Ras Al Khor, UAE",C,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-088,Oliver Ltd,Concrete Works,891062,CICPA-80507,100608436962,Karla Saunders,karla.saunders@olivercontracting.ae,+971-52-4780654,"JAFZA, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-089,"Massey, Fuller and Berger",Demolition,689704,CICPA-64090,100547221915,Debbie Parker,debbie.parker@masseycontracting.ae,+971-56-9891787,"DIP, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-090,Johnson-Diaz,MEP Works,778120,CICPA-20363,100582954920,David Browning,david.browning@johnson-diazcontracting.ae,+971-54-2551288,"Sharjah Industrial, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-091,Burgess-Thompson,Piling & Foundations,734356,CICPA-89026,100142463863,David Ryan,david.ryan@burgess-thompsoncontracting.ae,+971-50-4156856,"Sharjah Industrial, UAE",C,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-092,Schmidt-Mcintyre,Electrical,417915,CICPA-12009,100327426863,Maria Scott,maria.scott@schmidt-mcintyrecontracting.ae,+971-52-2968239,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-093,Coffey-Phillips Road Works,Road Works,515898,CICPA-41369,100692790631,Monica Brock,monica.brock@coffey-phillipscontracting.ae,+971-54-5748945,"Ras Al Khor, UAE",A,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,"Top Rated,Not Prequalified"
CON-094,Mccarty-Taylor Plumbing,Plumbing,374267,CICPA-57139,100650632566,Tammy Dalton,tammy.dalton@mccarty-taylorcontracting.ae,+971-55-8818250,"Al Quoz, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
